GEOID,state,county,borough,tract,median_income_2020,pct_white_2020,pct_black_2020,pct_asian_2020,pct_hispanic_2020,pct_under5_2020,pct_65plus_2020,pct_owner_2020,pct_renter_2020,pop_total_2020,hh_total_2020,median_income_2021,pct_white_2021,pct_black_2021,pct_asian_2021,pct_hispanic_2021,pct_under5_2021,pct_65plus_2021,pct_owner_2021,pct_renter_2021,pop_total_2021,hh_total_2021,median_income_2022,pct_white_2022,pct_black_2022,pct_asian_2022,pct_hispanic_2022,pct_under5_2022,pct_65plus_2022,pct_owner_2022,pct_renter_2022,pop_total_2022,hh_total_2022,median_income_2023,pct_white_2023,pct_black_2023,pct_asian_2023,pct_hispanic_2023,pct_under5_2023,pct_65plus_2023,pct_owner_2023,pct_renter_2023,pop_total_2023,hh_total_2023
36005017300,36,005,Bronx,017300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,18.585,44.417,0.932,46.224,6.258,22.503,6.963,93.037,5257,2226
36005017500,36,005,Bronx,017500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,8.783,66.092,0.0,35.894,7.619,13.392,0.0,100.0,6444,3035
36005017701,36,005,Bronx,017701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46070,6.461,52.716,2.168,51.117,7.293,13.228,4.438,95.562,4566,1397
36005017702,36,005,Bronx,017702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38897,14.801,56.551,3.17,39.992,9.225,10.027,19.155,80.845,5236,1681
36005017901,36,005,Bronx,017901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45292,7.891,31.865,4.406,69.237,7.771,8.211,10.776,89.224,4993,1689
36005017902,36,005,Bronx,017902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46230,5.013,46.486,0.0,60.095,10.837,5.293,0.0,100.0,3571,1305
36005018101,36,005,Bronx,018101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55400,2.571,42.093,0.06,59.522,4.664,8.281,9.637,90.363,3345,1048
36005018102,36,005,Bronx,018102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36334,3.651,42.933,0.122,56.027,4.263,23.618,2.823,97.177,4903,2161
36005018301,36,005,Bronx,018301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54226,22.927,33.635,2.756,46.487,6.867,22.385,26.673,73.327,4427,2017
36005018302,36,005,Bronx,018302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65196,1.121,43.532,0.03,59.164,5.029,5.907,7.498,92.502,3301,1467
36005018400,36,005,Bronx,018400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101705,45.218,6.209,17.601,38.307,9.364,11.242,36.337,63.663,3994,1376
36005018501,36,005,Bronx,018501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666666666,7.514,51.522,0.0,51.839,6.405,13.38,0.0,100.0,3154,1381
36005018502,36,005,Bronx,018502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32656,15.35,34.95,0.0,59.237,12.016,6.579,3.2,96.8,6658,2156
36005018900,36,005,Bronx,018900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48054,11.14,42.376,0.597,63.104,8.382,5.97,5.333,94.667,8375,2925
36005019300,36,005,Bronx,019300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41268,17.979,54.321,0.0,48.079,3.512,12.189,2.481,97.519,5751,2418
36005019400,36,005,Bronx,019400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87188,25.025,22.991,8.037,57.528,5.188,15.717,55.394,44.606,1966,686
36005019500,36,005,Bronx,019500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37374,9.058,46.212,0.769,49.135,8.18,10.925,2.732,97.268,7286,2672
36005019700,36,005,Bronx,019700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24383,17.237,18.949,3.062,79.313,5.817,6.272,0.0,100.0,7478,2462
36005019900,36,005,Bronx,019900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31228,7.534,41.192,0.0,62.589,7.425,10.027,7.084,92.916,7300,3162
36005020000,36,005,Bronx,020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47161,12.223,10.132,29.868,55.127,6.294,9.32,22.972,77.028,4925,1467
36005020100,36,005,Bronx,020100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36218,9.747,30.405,0.456,68.709,7.899,13.165,0.0,100.0,3950,1439
36005020200,36,005,Bronx,020200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52061,9.896,10.397,14.863,71.313,7.971,20.1,17.4,82.6,2597,1000
36005020400,36,005,Bronx,020400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60504,18.712,10.654,13.587,67.835,11.902,8.833,21.986,78.014,2966,987
36005020501,36,005,Bronx,020501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20821,21.041,27.599,0.478,74.19,8.157,13.199,6.071,93.929,7319,2652
36005020502,36,005,Bronx,020502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41125,10.704,42.815,1.0,68.471,1.541,15.41,15.551,84.449,2401,1016
36005020601,36,005,Bronx,020601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59138,8.166,8.638,35.846,43.306,3.023,13.899,25.389,74.611,2547,1028
